input_F,input_R,filtered_F,filtered_R,denoised_F,denoised_R,merged_F,merged_R,tabled_F,tabled_R,tabled_together,nonchim
114259,107548,62504,58530,104545,56664,97162,52504,97162,52504,149666,132061
121298,104749,68381,58121,102907,56630,95904,52324,95904,52324,148228,137103
139258,88465,94622,58393,86797,57274,82198,54697,82198,54697,136895,119639
100316,91755,68975,64927,91687,64866,91468,64679,91468,64679,156147,151801
60524,53011,35344,30713,51947,30015,48832,28279,48832,28279,77111,69938
114844,108884,68763,65012,108134,64156,105207,62372,105207,62372,167579,129848
86278,82274,43097,40909,80386,39611,75512,36884,75512,36884,112396,104239
85631,80232,80091,75498,79308,74601,75572,71561,75572,71561,147133,125802
107936,102736,67672,64085,100649,62674,94962,59323,94962,59323,154285,119548
155340,106737,108596,73017,102436,69597,93587,63300,93587,63300,156887,147186
86522,69633,57191,45390,68218,43879,64238,41234,64238,41234,105472,93497
101567,91896,59907,53683,89515,51926,81680,47820,81680,47820,129500,116335
103630,94103,57331,53320,93993,53252,92561,52430,92561,52430,144991,136364
104212,98253,57411,53806,94935,51500,86715,47573,86715,47573,134288,127233
83659,78023,55330,51334,77442,50841,76101,49826,76101,49826,125927,120736
118642,110830,77543,72176,107608,69475,100088,64664,100088,64664,164752,137058
97304,91660,55284,52196,91298,51892,88906,50394,88906,50394,139300,122076
101383,95960,62390,58961,93823,57491,88016,53973,88016,53973,141989,120788
109647,103270,54696,51435,100228,49150,93554,45949,93554,45949,139503,112062
113131,99470,104205,93062,96531,89740,86968,81677,86968,81677,168645,154607
138850,133773,89123,85803,131468,84299,122781,79441,122781,79441,202222,152074
89604,75988,62539,52429,74677,51316,71418,49041,71418,49041,120459,100808
92674,87366,60189,56587,83889,52973,76972,47954,76972,47954,124926,108927
126073,111374,74909,65660,108576,63755,99970,59215,99970,59215,159185,120308
85121,76686,44658,40051,75447,39011,71722,37160,71722,37160,108882,85491
98754,92429,53629,50074,90996,49048,86632,46500,86632,46500,133132,114644
124716,82056,82439,52905,81480,52469,78302,50644,78302,50644,128946,114963
91976,86427,60771,56868,84450,55325,79912,52425,79912,52425,132337,120137
87132,83777,49376,47409,82380,46339,78890,44515,78890,44515,123405,106102
90370,85336,54031,50832,83755,49719,79941,47507,79941,47507,127448,104640
100782,96048,48267,45927,94385,44832,89204,42334,89204,42334,131538,117300
85964,68053,77472,63778,66128,61970,60045,56616,60045,56616,116661,94743
114996,106802,69386,64488,105416,63237,101327,60959,101327,60959,162286,123478
78646,69014,53799,46811,67910,45877,65308,43941,65308,43941,109249,104301
79697,75469,50121,47450,73843,45598,70199,42978,70199,42978,113177,92089
72633,66687,43538,40872,66638,40804,65931,40102,65931,40102,106033,101205
88020,81487,46511,42858,80160,41878,75976,39963,75976,39963,115939,105729
100085,95663,54395,51824,93698,50039,88095,47002,88095,47002,135097,115969
72964,66376,46861,42361,65587,41587,63852,40632,63852,40632,104484,98982
130016,123379,84867,80134,121059,78366,114477,74053,114477,74053,188530,146910
90311,76158,51048,42458,73487,40518,68534,38131,68534,38131,106665,102344
116782,108696,68943,63832,107404,62911,102574,60177,102574,60177,162751,145907
109883,101964,52408,48528,100820,47821,97092,46297,97092,46297,143389,130569
97276,81613,89130,76846,80891,76071,77831,73666,77831,73666,151497,122616
123215,106301,77684,66067,104388,64904,100480,62010,100480,62010,162490,154921
106067,100520,70462,66906,98680,65226,92474,61283,92474,61283,153757,128953
81373,70864,51735,44857,70327,44312,68300,42927,68300,42927,111227,98895
80835,73217,46537,41643,71202,40240,67038,38211,67038,38211,105249,83260
78589,73639,43911,41134,72525,40145,68496,38176,68496,38176,106672,85170
104161,82346,59806,46775,80258,44962,75198,41936,75198,41936,117134,111045
67892,62035,44512,40316,60385,38695,55498,36094,55498,36094,91592,87931
92576,86790,62527,58451,85916,57925,82047,55564,82047,55564,137611,111863
59469,56443,34624,32803,55297,31786,51988,30101,51988,30101,82089,79149
83705,79535,51623,48903,77998,47505,73789,45220,73789,45220,119009,102661
102637,97633,51537,48901,95973,47872,91311,45233,91311,45233,136544,124039
92064,71542,81964,66485,70829,65699,67985,63117,67985,63117,131102,90195
104076,98811,66044,62627,98124,62166,95061,60295,95061,60295,155356,113758
92660,89074,65161,62791,88438,62084,84848,59810,84848,59810,144658,103131
63646,60554,42476,40378,58553,38303,54786,35637,54786,35637,90423,77986
106214,101615,63894,61056,99553,59255,93864,55971,93864,55971,149835,131911
85766,80093,46556,43333,78471,42076,74987,40540,74987,40540,115527,100627
80259,76047,44684,42410,75329,41602,73021,40213,73021,40213,113234,88626
79252,70664,52158,46431,68957,44889,63267,41561,63267,41561,104828,86515
106701,99277,71818,66458,97421,65097,92130,61449,92130,61449,153579,115243
60028,56052,33249,31079,54775,30045,51492,28466,51492,28466,79958,73494
78739,75216,47584,45228,74150,44289,71523,42677,71523,42677,114200,109487
113942,109728,55756,53685,108376,52633,103628,49969,103628,49969,153597,133076
77378,70622,72680,67490,69531,66352,66232,63826,66232,63826,130058,115779
88894,83854,56086,52884,81110,50933,75459,47501,75459,47501,122960,112380
116228,106284,79365,72292,104132,70549,97410,66104,97410,66104,163514,148033
91927,87724,58861,56145,86389,54871,82200,51787,82200,51787,133987,113433
79450,75858,46346,44259,74380,43152,70285,40980,70285,40980,111265,94899
