sample,Hash,nReads
NA_NA_NA_NA_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,6
PG_Al_6_May_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,2886
PG_Al_6_Aug_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,39
PG_Al_3_May_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,3309
CI_Al_3_May_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,47
CI_Al_3_May_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,16
CI_Al_15_Aug_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,17939
CI_Al_10_May_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,26
CI_Al_10_May_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,14
PG_Al_1_May_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,1099
CI_Al_10_Aug_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,24045
PG_Al_1_Aug_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,136
PG_Al_1_May_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,1570
PG_Al_15_Aug_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,23
CI_Al_3_Aug_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,24093
PG_Al_1_Aug_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,10
PG_Al_3_Aug_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,69
PG_Al_3_Aug_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,407
PG_Al_1_May_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,1154
CI_Al_1_Aug_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,29137
PG_Al_6_May_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,3792
PG_Al_15_May_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,872
CI_Al_6_May_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,87
PG_Al_6_May_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,1078
CI_Al_1_Aug_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,16680
CI_Al_1_May_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,71
CI_Al_6_Aug_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,14604
PG_Al_10_Aug_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,36
PG_Al_3_May_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,466
PG_Al_10_May_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,1094
PG_Al_15_Aug_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,25
PG_Al_6_Aug_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,3
CI_Al_3_Aug_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,19395
CI_Al_6_May_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,47
PG_Al_15_Aug_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,19
CI_Al_1_May_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,137
PG_Al_10_May_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,1244
PG_Al_15_May_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,2483
CI_Al_15_Aug_C_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,9947
PG_Al_3_Aug_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,82
CI_Al_6_May_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,49
CI_Al_10_Aug_A_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,20861
PG_Al_10_May_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,1154
CI_Al_3_Aug_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,21405
CI_Al_10_Aug_B_r3,3e967b2cb1139cdab2f062fe0005898007a2d247,11014
