sample,Hash,nReads
SK_Al_3_Aug_A_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,15168
SK_Al_3_Jul_A_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,25
SK_Al_1_Jul_C_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,24
SK_Al_6_Aug_C_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,16670
SK_Al_10_Aug_B_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,21581
SK_Al_6_Jul_A_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,31
SK_Al_3_Aug_C_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,9146
SK_Al_1_Aug_C_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,3680
SK_Al_15_Aug_C_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,2948
SK_Al_6_Jul_C_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,27
SK_Al_15_Aug_A_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,9042
SK_Al_1_Aug_A_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,5984
NR_Ac_15_Aug_C_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,6
SK_Al_15_Jul_A_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,31
NR_Ac_3_Aug_C_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,309
NR_Ac_10_Aug_C_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,12
SK_Al_15_Jul_C_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,71
SK_Al_10_Jul_A_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,38
NR_Ac_10_Aug_B_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,9
SK_Al_6_Aug_A_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,13740
SK_Al_6_Aug_B_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,9815
SK_Al_10_Aug_C_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,14068
SK_Al_15_Aug_B_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,9523
SK_Al_3_Jul_C_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,107
SK_Al_3_Aug_B_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,13492
SK_Al_10_Aug_A_r4,a31d4e16bf8a39f654272a1186dba2dda26ab921,6495
SK_Al_3_Jul_A_r4,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,2630
SK_Al_1_Jul_C_r4,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,9589
SK_Al_6_Jul_A_r4,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,10118
SK_Al_1_Jul_A_r4,8a1c9da427aa6f155aaa44acd2708f79db93e1d1,3407
