input_F,input_R,filtered_F,filtered_R,denoised_F,denoised_R,merged_F,merged_R,tabled_F,tabled_R,tabled_together,nonchim
36879,30235,21963,18087,29967,17790,28969,16319,28969,16319,45288,43464
33588,15301,19701,9062,15099,8902,14669,8667,14669,8667,23336,23263
16351,14012,11968,10294,13760,10046,13059,9533,13059,9533,22592,21393
28656,20518,20969,15271,20356,15105,19901,14708,19901,14708,34609,31362
20853,7589,13464,4774,7405,4639,6752,4195,6752,4195,10947,10348
31509,27350,20071,17619,26903,17150,24106,15371,24106,15371,39477,33929
27804,19694,18598,13164,19458,12881,18382,11977,18382,11977,30359,26527
50667,34780,37622,25170,34369,24861,33604,24091,33604,24091,57695,53556
37498,26028,26714,18378,25589,17856,23831,16775,23831,16775,40606,36422
26612,14630,14732,7998,14452,7874,13960,7525,13960,7525,21485,19909
18108,8922,10260,5068,8789,4977,8203,4505,8203,4505,12708,12350
46666,6565,30846,4779,6409,4700,5101,3866,5101,3866,8967,7709
31660,13273,22986,9343,13156,9208,12185,8599,12185,8599,20784,20116
19772,9629,12675,6181,9340,5901,8273,5232,8273,5232,13505,12353
24317,20325,15515,13018,19947,12549,18939,11860,18939,11860,30799,29282
18735,15281,12865,10514,14689,10002,13423,9309,13423,9309,22732,22228
10801,8250,8286,6043,7898,5626,7171,5006,7171,5006,12177,11903
98551,80429,70018,57258,79130,55996,73228,52018,73228,52018,125246,99875
22217,10021,13944,6397,9801,6178,8145,5471,8145,5471,13616,12398
40046,23377,24725,14525,22939,14088,21190,12990,21190,12990,34180,31085
33195,23319,24301,17144,23178,17002,22627,16645,22627,16645,39272,35414
20224,15913,15332,12003,15461,11571,13903,10728,13903,10728,24631,23612
37280,16386,24569,10586,16253,10428,15916,9782,15916,9782,25698,25565
23723,14694,15839,9869,14556,9702,13241,9027,13241,9027,22268,19381
20658,14881,15618,11843,14835,11806,13705,9103,13705,9103,22808,22619
37834,22916,27248,17766,22593,17360,21626,16689,21626,16689,38315,34833
49365,10999,36044,7670,10803,7504,10377,7149,10377,7149,17526,16869
22128,19808,12850,11611,19306,11190,17979,10330,17979,10330,28309,24865
36590,21218,21593,12396,20615,11871,18743,10962,18743,10962,29705,28017
61961,46957,45098,34503,46274,33750,44054,31687,44054,31687,75741,69699
39063,32413,28062,23406,32258,23151,31064,21660,31064,21660,52724,51095
22358,19434,14279,12454,19044,12e3,17707,11170,17707,11170,28877,26393
107,58,64,36,22,4,4254,2909,4254,2909,7163,7126
69694,4442,49228,3080,4333,2990,29708,22129,29708,22129,51837,45224
37117,32204,27959,24508,31604,23922,17599,12519,17599,12519,30118,28393
21625,19038,15209,13323,18777,13139,15501,8912,15501,8912,24413,24279
56528,16067,33484,9300,15864,9144,14345,8257,14345,8257,22602,20397
52300,16344,31224,9554,15978,9257,12460,8508,12460,8508,20968,20824
61468,12827,44180,8856,12700,8757,18308,13283,18308,13283,31591,28830
23322,19065,17867,13802,18837,13608,13470,8526,13470,8526,21996,21330
17763,15074,11366,9412,14585,9086,13991,9277,13991,9277,23268,21630
32564,15880,21447,10380,15392,9962,71639,49026,71639,49026,120665,104300
121365,75800,83530,52270,74989,51555,13308,5780,13308,5780,19088,17412
79,42,44,24,13,6,16180,7709,16180,7709,23889,22072
105,63,89,50,17,7,10568,6313,10568,6313,16881,15350
21958,15446,10403,7069,14855,6712,47782,25548,47782,25548,73330,70652
20232,17323,9520,8259,17110,8168,40476,23761,40476,23761,64237,59192
88,38,65,19,20,1,14338,7903,14338,7903,22241,20690
15782,11451,9263,6780,11262,6673,19298,10456,19298,10456,29754,27777
47,23,40,25,10,12,30226,15694,30226,15694,45920,39858
122375,50064,68997,27234,49438,26659,11089,6377,11089,6377,17466,17030
66,30,73,34,2,8,9570,5339,9570,5339,14909,14841
60208,43245,37342,25915,42768,25397,28247,16052,28247,16052,44299,37821
18912,16218,10746,9086,15620,8619,11962,7313,11962,7313,19275,17721
31849,21265,17243,11205,20853,10926,20105,13334,20105,13334,33439,30559
37412,33283,19925,17943,32751,17524,52749,34775,52749,34775,87524,78864
23207,11819,15659,8304,11601,8224,28969,16319,28969,16319,45288,43464
21785,9821,15391,7385,9769,7369,14669,8667,14669,8667,23336,23263
36065,30162,20655,17263,29714,16923,13059,9533,13059,9533,22592,21393
28846,13521,17610,8587,13156,8371,19901,14708,19901,14708,34609,31362
91,36,71,20,15,1,6752,4195,6752,4195,10947,10348
38926,20516,26099,13667,20429,13591,24106,15371,24106,15371,39477,33929
88719,55868,59201,37328,55234,36695,18382,11977,18382,11977,30359,26527
