input_F,input_R,filtered_F,filtered_R,denoised_F,denoised_R,merged_F,merged_R,tabled_F,tabled_R,tabled_together,nonchim
47447,41969,21539,18677,41969,18677,39451,17408,39451,17408,56859,53674
86949,80288,41604,38290,80288,38290,75612,35764,75612,35764,111376,99131
49202,42750,28375,24260,42750,24260,39370,22259,39370,22259,61629,56036
61982,51548,38139,30999,51548,30999,48676,29100,48676,29100,77776,71773
112467,29796,70018,16013,29796,16013,29674,15867,29674,15867,45541,43745
102167,92e3,65661,58504,92e3,58504,86996,54666,86996,54666,141662,125181
85245,73635,56821,48466,73635,48466,67058,43920,67058,43920,110978,103081
80374,71683,43449,38013,71683,38013,67930,35525,67930,35525,103455,91986
77490,60669,34452,25575,60669,25575,57224,23725,57224,23725,80949,71410
64579,54092,61378,52701,54092,52701,50478,49124,50478,49124,99602,87880
72898,63158,43031,36392,63158,36392,59659,33943,59659,33943,93602,80425
80357,68168,49101,40370,68168,40370,65264,38019,65264,38019,103283,96504
73315,59793,41776,32591,59793,32591,57545,31452,57545,31452,88997,82327
48468,26155,22155,10246,26155,10246,25462,9755,25462,9755,35217,27672
163519,3080,110610,1458,3080,1458,3068,1444,3068,1444,4512,4492
72399,61074,32876,27097,61074,27097,57479,25383,57479,25383,82862,75779
128960,74517,67167,35416,74517,35416,72149,33782,72149,33782,105931,102827
69200,61637,41946,37187,61637,37187,57664,34404,57664,34404,92068,78211
81874,68859,49826,40982,68859,40982,64501,38280,64501,38280,102781,97374
97305,61286,51789,30298,61286,30298,59243,28959,59243,28959,88202,82272
82127,65119,54142,41725,65119,41725,61747,39193,61747,39193,100940,90108
69969,51340,39880,27995,51340,27995,49065,26662,49065,26662,75727,67320
122580,65967,56933,27220,65967,27220,65204,26767,65204,26767,91971,89343
50560,42956,46862,40838,42956,40838,40476,37971,40476,37971,78447,72665
67246,60155,38820,34353,60155,34353,57163,32343,57163,32343,89506,78397
104135,87091,60591,49707,87091,49707,82278,46726,82278,46726,129004,114348
65712,49831,38608,27760,49831,27760,48748,26935,48748,26935,75683,65622
93662,47572,57474,25736,47572,25736,46039,24879,46039,24879,70918,58288
86173,79548,35540,32495,79548,32495,75580,30402,75580,30402,105982,94606
69277,58014,36929,29988,58014,29988,55465,28205,55465,28205,83670,80044
64480,53552,29855,24246,53552,24246,50999,22850,50999,22850,73849,66287
74876,60472,34656,27261,60472,27261,56834,25216,56834,25216,82050,73106
68821,55491,39782,31260,55491,31260,51778,29025,51778,29025,80803,69096
67191,57266,39625,33152,57266,33152,53938,31080,53938,31080,85018,74135
68805,55483,34037,26662,55483,26662,52143,24767,52143,24767,76910,72550
74305,66874,47516,42535,66874,42535,63205,40053,63205,40053,103258,92521
83748,74115,53294,46810,74115,46810,71166,44484,71166,44484,115650,102430
79920,69121,41948,35592,69121,35592,65660,33596,65660,33596,99256,93746
95417,67636,40588,26786,67636,26786,64172,25220,64172,25220,89392,83598
79639,63435,70289,57913,63435,57913,59906,54158,59906,54158,114064,101284
72585,63391,39856,34130,63391,34130,58875,31222,58875,31222,90097,81663
80501,72192,44448,39486,72192,39486,67293,36689,67293,36689,103982,91140
86668,60092,53612,35363,60092,35363,57939,33816,57939,33816,91755,85411
73178,66418,39962,35855,66418,35855,61885,33073,61885,33073,94958,86739
76336,68738,39081,34746,68738,34746,65369,32639,65369,32639,98008,86484
70150,61907,32037,27902,61907,27902,57211,25601,57211,25601,82812,74360
67540,60099,31651,27925,60099,27925,55781,25741,55781,25741,81522,75037
99183,24811,66654,14280,24811,14280,24630,14070,24630,14070,38700,36874
73613,45045,47392,26831,45045,26831,43308,25758,43308,25758,69066,67646
60568,54922,30328,27133,54922,27133,51306,25092,51306,25092,76398,68823
73457,58387,47598,36577,58387,36577,54497,33930,54497,33930,88427,79957
71065,59209,45159,36591,59209,36591,56385,35007,56385,35007,91392,70993
84674,50397,48458,26045,50397,26045,49314,25345,49314,25345,74659,62756
81471,68315,34949,28047,68315,28047,64153,25524,64153,25524,89677,78459
37682,25777,36170,27532,25777,27532,25560,27228,25560,27228,52788,52599
54219,44397,31320,24767,44397,24767,43740,24300,43740,24300,68040,61551
227864,142,163924,96,142,96,5785,3170,5785,3170,8955,8032
12749,6236,8300,3588,6236,3588,64138,35693,64138,35693,99831,94197
98570,66372,58996,37184,66372,37184,26251,11486,26251,11486,37737,37649
36344,26491,16318,11616,26491,11616,42505,20533,42505,20533,63038,58035
49075,45186,24266,22117,45186,22117,32886,14922,32886,14922,47808,44518
39984,35649,18527,16344,35649,16344,36527,16845,36527,16845,53372,41084
125286,36958,67715,17023,36958,17023,60305,35153,60305,35153,95458,87309
79045,64903,47391,38262,64903,38262,59138,35070,59138,35070,94208,89903
72988,62102,44283,36791,62102,36791,53902,25464,53902,25464,79366,72227
67534,58030,33553,28112,58030,28112,65434,42400,65434,42400,107834,105113
97250,67735,66306,44132,67735,44132,37253,26572,37253,26572,63825,63819
63744,37431,45224,26713,37431,26713,58133,31443,58133,31443,89576,78779
71055,62572,39492,34178,62572,34178,56914,23238,56914,23238,80152,71960
