input_F,input_R,filtered_F,filtered_R,denoised_F,denoised_R,merged_F,merged_R,tabled_F,tabled_R,tabled_together,nonchim
67973,60613,28590,25123,60613,25123,22194,21208,22194,21208,43402,40124
27313,23625,25740,22785,23625,22785,62883,36937,62883,36937,99820,90058
73263,64663,44034,38481,64663,38481,74319,43311,74319,43311,117630,94587
87601,79006,51709,46219,79006,46219,52399,31907,52399,31907,84306,80032
62434,55785,39196,34534,55785,34534,60104,33533,60104,33533,93637,83312
76045,64184,44325,36354,64184,36354,51612,21206,51612,21206,72818,66774
60686,54828,25569,22812,54828,22812,45245,21687,45245,21687,66932,59371
72318,46587,38129,22612,46587,22612,70150,32874,70150,32874,103024,87275
87481,74062,42024,34908,74062,34908,42175,20285,42175,20285,62460,59906
54254,44707,26719,21568,44707,21568,35174,20579,35174,20579,55753,51172
58857,35506,36683,20786,35506,20786,52503,31235,52503,31235,83738,78036
62726,53639,37924,31933,53639,31933,47376,23492,47376,23492,70868,66404
70508,49248,37235,24687,49248,24687,50059,32701,50059,32701,82760,78707
64256,52882,42921,34587,52882,34587,53108,34859,53108,34859,87967,81906
64059,57388,42458,37752,57388,37752,67113,35275,67113,35275,102388,89567
85414,70898,47111,37910,70898,37910,62351,26120,62351,26120,88471,83289
75346,65096,32934,27656,65096,27656,48127,47226,48127,47226,95353,86348
75812,49601,69844,49055,49601,49055,65655,37526,65655,37526,103181,91632
73754,69554,43496,40704,69554,40704,49985,29232,49985,29232,79217,70836
72032,53153,44068,31427,53153,31427,74850,45124,74850,45124,119974,102009
86193,79651,52381,48319,79651,48319,60396,34389,60396,34389,94785,83991
69923,63724,40785,36752,63724,36752,49714,20650,49714,20650,70364,66317
69494,50714,30680,21216,50714,21216,54941,27738,54941,27738,82679,72832
69282,58068,36645,29965,58068,29965,39451,17408,39451,17408,56859,53674
